ISBN,integer_isbn,Title,Author,YearOfPublication,Publisher,ImageURLS,ImageURLM,ImageURLL
0060173289,507,divine secrets of the ya-ya sisterhood : a novel,rebecca wells,1996,harpercollins,http://images.amazon.com/images/P/0060173289.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060173289.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060173289.01.LZZZZZZZ.jpg
0374129983,508,the corrections,jonathan franzen,2001,farrar straus &amp; giroux,http://images.amazon.com/images/P/0374129983.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374129983.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374129983.01.LZZZZZZZ.jpg
0399144463,509,who moved my cheese? an amazing way to deal with change in your work and in your life,spencer johnson,1998,putnam pub group (paper),http://images.amazon.com/images/P/0399144463.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399144463.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399144463.01.LZZZZZZZ.jpg
0440235162,510,the smoke jumper,nicholas evans,2002,dell publishing company,http://images.amazon.com/images/P/0440235162.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440235162.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440235162.01.LZZZZZZZ.jpg
0671011367,512,deja dead,kathy reichs,1998,pocket,http://images.amazon.com/images/P/0671011367.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671011367.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671011367.01.LZZZZZZZ.jpg
0671867156,513,pretend you don't see her,mary higgins clark,1998,pocket,http://images.amazon.com/images/P/0671867156.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg
0743224574,514,a beautiful mind: the life of mathematical genius and nobel laureate john nash,sylvia nasar,2001,simon &amp; schuster,http://images.amazon.com/images/P/0743224574.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743224574.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743224574.01.LZZZZZZZ.jpg
080213825X,516,four blondes,candace bushnell,2001,grove press,http://images.amazon.com/images/P/080213825X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080213825X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080213825X.01.LZZZZZZZ.jpg
140003065X,517,a fine balance,rohinton mistry,2001,vintage books usa,http://images.amazon.com/images/P/140003065X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/140003065X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/140003065X.01.LZZZZZZZ.jpg
0156528207,518,the little prince,antoine de saint-exupã©ry,1968,harcourt,http://images.amazon.com/images/P/0156528207.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156528207.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156528207.01.LZZZZZZZ.jpg
0345413350,519,"the golden compass (his dark materials, book 1)",philip pullman,1997,del rey,http://images.amazon.com/images/P/0345413350.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345413350.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345413350.01.LZZZZZZZ.jpg
0553375407,521,ishmael: an adventure of the mind and spirit,daniel quinn,1995,bantam,http://images.amazon.com/images/P/0553375407.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553375407.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553375407.01.LZZZZZZZ.jpg
0743457358,522,everything's eventual : 14 dark tales,stephen king,2002,pocket,http://images.amazon.com/images/P/0743457358.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743457358.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743457358.01.LZZZZZZZ.jpg
1573227331,523,about a boy,nick hornby,1999,riverhead books,http://images.amazon.com/images/P/1573227331.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573227331.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573227331.01.LZZZZZZZ.jpg
0060932759,524,daughter of fortune,isabel allende,2000,perennial,http://images.amazon.com/images/P/0060932759.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060932759.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060932759.01.LZZZZZZZ.jpg
0099771519,525,memoirs of a geisha uk,arthur golden,0,trafalgar square,http://images.amazon.com/images/P/0099771519.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0099771519.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0099771519.01.LZZZZZZZ.jpg
0330332775,526,bridget jones's diary,helen fielding,1997,picador (uk),http://images.amazon.com/images/P/0330332775.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg
0446611808,527,envy,sandra brown,2002,warner books,http://images.amazon.com/images/P/0446611808.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446611808.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446611808.01.LZZZZZZZ.jpg
0812511816,528,"the eye of the world (the wheel of time, book 1)",robert jordan,1990,tor fantasy,http://images.amazon.com/images/P/0812511816.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812511816.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812511816.01.LZZZZZZZ.jpg
1558744630,529,chicken soup for the teenage soul (chicken soup for the soul),jack canfield,1997,health communications,http://images.amazon.com/images/P/1558744630.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558744630.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558744630.01.LZZZZZZZ.jpg
0743411250,530,the woman next door,barbara delinsky,2002,pocket,http://images.amazon.com/images/P/0743411250.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743411250.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743411250.01.LZZZZZZZ.jpg
0552998486,532,chocolat,joanne harris,2000,black swan,http://images.amazon.com/images/P/0552998486.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0552998486.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0552998486.01.LZZZZZZZ.jpg
076790592X,533,"tuesdays with morrie: an old man, a young man, and life's greatest lesson",mitch albom,2002,broadway,http://images.amazon.com/images/P/076790592X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/076790592X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/076790592X.01.LZZZZZZZ.jpg
0671027344,535,the perks of being a wallflower,stephen chbosky,1999,mtv,http://images.amazon.com/images/P/0671027344.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671027344.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671027344.01.LZZZZZZZ.jpg
1844262553,536,free,paul vincent,2003,upfront publishing,http://images.amazon.com/images/P/1844262553.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1844262553.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1844262553.01.LZZZZZZZ.jpg
